GeneID	PPDE	FC
ECs0002	0.9822053921637849960291077877627685666084290	-2.1800027667
ECs0003	0.9908348385864019780555622674000915139913559	-2.0575813912
ECs0004	0.9897386447652930518970038065162952989339828	-1.8313100358
ECs0005	0.9725233897843730268562012497568503022193909	-0.9581591479
ECs0026	0.9990550383225600405978639173554256558418274	 0.8913326696
ECs0035	0.9969048362363089887949740841577295213937759	-3.6588066141
ECs0036	0.9981889981821819857188415880955290049314499	-3.7587658368
ECs0037	0.9990369172787959550774417039065156131982803	-2.1308366926
ECs0049	0.9825539486280899792447485197044443339109421	-1.2954269529
ECs0050	0.9727586969680189765696809445216786116361618	-0.6956072064
ECs0051	0.9983421735921460538065730361267924308776855	 0.9364009933
ECs0052	0.9853856922150520114556115913728717714548111	 0.6709507508
ECs0053	0.9889296119696100451079701088019646704196930	 0.6936304358
ECs0057	0.9852983727705360017523616988910362124443054	 0.5863600713
ECs0062	0.9943556473255980021619393482978921383619308	 1.0886257551
ECs0063	0.9991470053347200064308708533644676208496094	 1.1041495003
ECs0068	0.9862810111957289738171539283939637243747711	-0.7863124231
ECs0073	0.9749536936465039715926650387700647115707397	 0.6378445528
ECs0076	0.9737057007279420473011555259290616959333420	-1.0722351475
ECs0077	0.9844201130358030127354140859097242355346680	-1.2295014341
ECs0078	0.9715919240533720246943971687869634479284286	-1.1915638550
ECs0081	0.9794079687697839764481955171504523605108261	-0.9743526108
ECs0082	0.9700460473044260067965183225169312208890915	-0.5884903122
ECs0086	0.9704944660284280377737786693614907562732697	 0.5918121433
ECs0090	0.9958744026006559613151125631702598184347153	 0.7481908158
ECs0092	0.9723720761353940034155129978898912668228149	 0.5649948993
ECs0093	0.9949362198724629458013168914476409554481506	 0.7219154144
ECs0095	0.9847096011082170363692966930102556943893433	 0.6852959460
ECs0096	0.9795168011190039658586670157092157751321793	 0.5870545683
ECs0116	0.9946032843575980386674473265884444117546082	-1.2260705898
ECs0117	0.9996164575744329594542136874224524945020676	 1.1121306429
ECs0118	0.9997360803795699579765710041101556271314621	 1.2159459513
ECs0119	0.9995018516517509832297605498752091079950333	 1.1183812934
ECs0127	0.9958350417072719951150361339387018233537674	-1.2925447505
ECs0128	0.9998703161129599559231451166851911693811417	 1.7011323042
ECs0133	0.9771679158287970290430735076370183378458023	 0.5361928376
ECs0150	0.9876941163166630399672385465237312018871307	-1.4177196306
ECs0156	0.9880463223695440388993915803439449518918991	 0.5938521264
ECs0161	0.9864354784736000247846732236212119460105896	 0.6292706919
ECs0167	0.9712658240434189904632944490003865212202072	-1.0127749084
ECs0171	0.9726924483904469953543525662098545581102371	 0.4759918859
ECs0175	0.9993390679915820085099653624638449400663376	 1.0807204711
ECs0176	0.9976636236350550079876597919792402535676956	 0.8560733511
ECs0177	0.9927696708576909667698373596067540347576141	 0.8075483024
ECs0178	0.9908850689319960158840672193036880344152451	 0.6307436528
ECs0179	0.9936196586161489818778136395849287509918213	 0.7204923335
ECs0181	0.9989567571074069451952937015448696911334991	 1.0105472977
ECs0185	0.9978536089457400448665680414706002920866013	 0.8695456305
ECs0199	0.9881812623509860227244416819303296506404877	-1.7945155349
ECs0200	0.9897913567482720109680371933791320770978928	-1.3073202294
ECs0201	0.9808790018317069536735175461217295378446579	-1.4140929940
ECs0203	0.9998879430566589565643198511679656803607941	 1.7815070527
ECs0244	0.9902212845704270183233575153280980885028839	 0.5981992540
ECs0247	0.9950983532391329822175407571194227784872055	-1.4381988224
ECs0304	0.9921547434344689664342809010122437030076981	 0.8872245799
ECs0313	0.9814511655566789949389772118593100458383560	-0.9419672199
ECs0314	0.9970924755982639720031102115171961486339569	-1.3492256248
