GeneID	PPDE	FC
ABE-0012311	0.9972169258389149693044828381971456110477448	-0.9971959529
ABE-0285088	0.9797732520066569916750154334295075386762619	-0.6916915762
b0002	0.9822053921637849960291077877627685666084290	-2.1800027667
b0003	0.9908348385864019780555622674000915139913559	-2.0575813912
b0004	0.9936808965424159811874460501712746918201447	-1.7447647021
b0005	0.9734878564661529898316416620218660682439804	-1.0611237488
b0014	0.9611313913654779828021901266765780746936798	-0.7657137662
b0023	0.9990550383225600405978639173554256558418274	 0.8913326696
b0032	0.9969048362363089887949740841577295213937759	-3.6588066141
b0033	0.9981889981821819857188415880955290049314499	-3.7587658368
b0034	0.9989837164326199614450274566479492932558060	-2.1446320301
b0046	0.9825539486280899792447485197044443339109421	-1.2954269529
b0047	0.9727586969680189765696809445216786116361618	-0.6956072064
b0048	0.9977723522103719711040525908174458891153336	 0.8846627659
b0058	0.9943556473255980021619393482978921383619308	 1.0886257551
b0059	0.9991470053347200064308708533644676208496094	 1.1041495003
b0064	0.9862810111957289738171539283939637243747711	-0.7863124231
b0072	0.9786212414321050490073616856534499675035477	-1.0767274330
b0073	0.9814360074074209849825933815736789256334305	-1.0130245638
b0074	0.9906512965734579623244826507288962602615356	-1.4140186292
b0077	0.9820479483321119529293241612322162836790085	-0.9606992389
b0078	0.9700460473044260067965183225169312208890915	-0.5884903122
b0082	0.9622030584788490159553475677967071533203125	 0.5966905825
b0089	0.9949362198724629458013168914476409554481506	 0.7219154144
b0090	0.9619514101887549628600027062930166721343994	 0.6088121691
b0091	0.9847096011082170363692966930102556943893433	 0.6852959460
b0112	0.9946032843575980386674473265884444117546082	-1.2260705898
b0113	0.9996164575744329594542136874224524945020676	 1.1121306429
b0114	0.9997360803795699579765710041101556271314621	 1.2159459513
b0115	0.9995018516517509832297605498752091079950333	 1.1183812934
b0123	0.9975603359295900363079567796376068145036697	-1.6911547701
b0124	0.9998703161129599559231451166851911693811417	 1.7011323042
b0146	0.9830629499360720169320870809315238147974014	-1.3501768415
b0157	0.9864354784736000247846732236212119460105896	 0.6292706919
b0163	0.9807290745055510239325258226017467677593231	-1.0075438742
b0174	0.9976636236350550079876597919792402535676956	 0.8560733511
b0175	0.9927696708576909667698373596067540347576141	 0.8075483024
b0176	0.9908850689319960158840672193036880344152451	 0.6307436528
b0179	0.9989567571074069451952937015448696911334991	 1.0105472977
b0183	0.9978536089457400448665680414706002920866013	 0.8695456305
b0189	0.9503336364081189646668690329534001648426056	-0.6387981562
b0197	0.9881812623509860227244416819303296506404877	-1.7945155349
b0198	0.9897913567482720109680371933791320770978928	-1.3073202294
b0199	0.9808790018317069536735175461217295378446579	-1.4140929940
b0207	0.9998879430566589565643198511679656803607941	 1.7815070527
b0220	0.9950983532391329822175407571194227784872055	-1.4381988224
b0238	0.9508449869759679762282189585675951093435287	 0.5511769193
b0283	0.9814511655566789949389772118593100458383560	-0.9419672199
b0284	0.9970924755982639720031102115171961486339569	-1.3492256248
b0285	0.9991037668092800361208105641708243638277054	-2.3736058449
b0286	0.9991625811014830382816853671101853251457214	-1.9370735673
b0287	0.9998015134334029552221068115613888949155807	 1.8389776313
b0312	0.9909333603362420195281856649671681225299835	 0.7428615592
